Day,Logged in users,Anonymous users,Crawlers
2023-11-23,41,9,""
2023-11-24,15,5,2
2023-11-26,1,18,""
2023-11-27,75,25,1
2023-11-28,92,41,1
2023-11-29,40,13,""
2023-11-30,12,2,""
2023-12-01,9,4,1
2023-12-02,3,3,""
2023-12-03,80,6,""
2023-12-04,10,11,""
2023-12-05,39,3,2
2023-12-06,14,2,12
2023-12-07,24,6,""
2023-12-08,10,5,""
2023-12-09,5,1,1
2023-12-10,1,1,""
2023-12-11,3,"",""
2023-12-12,50,10,1
2023-12-13,12,3,""
2023-12-14,64,7,""
2023-12-15,7,3,""
2023-12-16,2,"",""
2023-12-17,3,"",""
2023-12-18,2,"",""
2023-12-19,12,3,""
2023-12-20,10,11,""
2023-12-21,8,"",2
2023-12-22,46,7,""
2023-12-23,21,2,5
2023-12-24,6,36,3
2023-12-25,4,"",1
2023-12-26,10,"",1
2023-12-27,3,"",""
2023-12-28,7,"",5
2023-12-29,6,"",5
2023-12-30,1,"",1
2023-12-31,2,"",1
2024-01-07,7,3,1
2024-01-08,7,2,23
2024-01-10,3,1,""
2024-01-11,2,1,""
2024-01-13,3,"",1
2024-01-14,8,"",1
2024-01-15,4,7,3
2024-01-16,13,5,7
2024-01-17,14,1,2
2024-01-18,13,"",2
2024-01-19,8,6,4
2024-01-20,4,"",""
2024-01-21,4,"",4
2024-01-22,18,1,""
2024-01-23,4,6,""
2024-01-24,20,2,3
2024-01-25,19,9,12
2024-01-26,13,10,15
2024-01-27,6,"",3
2024-01-28,25,"",3
2024-01-29,15,2,""
2024-01-30,25,10,""
2024-01-31,16,"",1
2024-02-01,27,1,1
2024-02-02,17,1,1
2024-02-03,6,1,""
2024-02-04,14,2,""
2024-02-05,11,"",1
2024-02-06,21,21,""
2024-02-07,13,2,""
2024-02-08,11,3,""
2024-02-09,6,15,""
2024-02-10,11,5,5
2024-02-11,10,"",4
2024-02-12,9,1,1
2024-02-13,12,1,""
2024-02-14,13,3,2
2024-02-15,6,"",1
2024-02-16,11,1,1
2024-02-17,3,1,""
2024-02-18,1,3,3
2024-02-19,6,4,1
2024-02-20,1,7,""
2024-02-21,3,1,""
2024-02-22,7,5,4
2024-02-23,3,3,2
2024-02-24,3,"",19
2024-02-25,1,6,4
2024-02-26,6,"",2
2024-02-27,3,"",2
2024-02-28,6,1,2
2024-02-29,1,4,2
2024-03-01,1,"",""
2024-03-04,10,5,""
2024-03-06,1,"",""
2024-03-07,5,"",""
2024-03-08,6,"",1
2024-03-09,3,"",2
2024-03-11,21,"",""
2024-03-12,14,1,3
2024-03-13,7,"",2
2024-03-14,10,2,2
2024-03-15,12,6,""
2024-03-16,1,3,1
2024-03-17,4,"",2
2024-03-18,16,7,1
2024-03-19,2,"",1
2024-03-21,5,"",3
2024-03-22,2,5,3
2024-03-23,3,6,""
2024-03-24,3,4,1
2024-03-25,1,1,""
2024-03-26,6,1,1
2024-03-28,3,"",4
2024-03-29,1,2,2
2024-03-30,14,"",4
2024-03-31,2,"",""
2024-04-01,33,3,5
2024-04-02,48,7,3
2024-04-03,26,4,""
2024-04-04,24,1,""
2024-04-05,14,1,4
2024-04-06,32,31,3
2024-04-07,3,13,2
2024-04-08,35,6,4
2024-04-09,19,6,""
2024-04-10,4,3,3
2024-04-11,7,"",1
2024-04-12,10,2,2
2024-04-13,1,2,3
2024-04-14,3,3,5
2024-04-15,2,2,2
2024-04-17,8,6,2
2024-04-18,46,3,6
2024-04-19,91,15,3
2024-04-20,7,1,3
2024-04-21,2,1,2
2024-04-22,13,11,6
2024-04-23,14,"",2
2024-04-24,12,4,35
2024-04-25,10,10,10
2024-04-26,33,9,3
2024-04-27,5,2,6
2024-04-28,2,2,5
2024-04-29,32,4,9
2024-04-30,1,6,6
2024-05-01,8,4,8
2024-05-02,7,3,6
2024-05-03,5,"",2
2024-05-04,6,4,2
2024-05-05,18,12,1
2024-05-06,12,3,1
2024-05-07,13,22,2
2024-05-08,27,6,5
2024-05-09,4,3,2
2024-05-10,57,21,1
2024-05-11,6,2,2
2024-05-15,2,8,1
2024-05-16,13,7,1
2024-05-17,8,1,9
2024-05-18,3,4,5
2024-05-19,9,1,5
2024-05-20,5,"",5
2024-05-21,21,6,3
2024-05-22,11,"",2
2024-05-23,17,2,6
2024-05-24,88,7,4
2024-05-25,52,21,1
2024-05-26,28,2,1
2024-05-27,40,34,3
2024-05-28,9,5,2
2024-05-29,7,2,5
2024-05-30,69,3,7
2024-05-31,49,"",2
2024-06-01,8,4,4
2024-06-02,7,7,10
2024-06-03,20,11,44
2024-06-04,55,3,8
2024-06-05,76,3,6
2024-06-06,57,2,4
2024-06-07,27,4,""
2024-06-08,12,1,""
2024-06-09,10,3,4
2024-06-10,51,48,17
2024-06-11,34,1,8
2024-06-12,17,1,15
2024-06-13,29,1,5
2024-06-14,18,15,11
2024-06-15,15,3,8
2024-06-16,11,6,11
2024-06-17,13,"",7
2024-06-18,56,7,7
2024-06-19,7,2,10
2024-06-20,37,7,8
2024-06-21,11,9,4
2024-06-22,9,"",3
2024-06-23,2,"",7
2024-06-24,8,1,2
2024-06-25,11,6,12
2024-06-26,4,3,4
2024-06-27,17,30,32
2024-06-28,15,8,10
2024-06-29,2,3,5
2024-06-30,1,1,12
2024-07-01,4,2,6
2024-07-02,9,4,8
2024-07-03,10,4,14
2024-07-04,12,1,2
2024-07-05,15,7,7
2024-07-06,5,28,3
2024-07-07,3,"",3
2024-07-09,11,1,5
2024-07-10,17,3,17
2024-07-11,4,12,8
2024-07-12,43,3,6
2024-07-13,52,9,23
2024-07-14,52,"",11
2024-07-15,77,6,9
2024-07-16,12,"",53
2024-07-17,10,11,15
2024-07-18,1,4,8
2024-07-19,14,1,8
2024-07-20,3,2,8
2024-07-21,4,8,7
2024-07-22,105,46,35
2024-07-23,37,60,20
2024-07-24,90,61,16
2024-07-25,234,32,19
2024-07-26,101,25,3
2024-07-27,20,3,9
2024-07-28,8,6,25
2024-07-29,76,2,7
2024-07-30,29,4,7
2024-07-31,20,"",10
2024-08-01,169,23,23
2024-08-02,9,2,14
2024-08-03,3,2,10
2024-08-04,3,"",12
2024-08-05,12,5,14
2024-08-06,12,"",13
2024-08-07,3,1,5
2024-08-08,31,35,26
2024-08-09,125,24,15
2024-08-10,5,6,28
2024-08-11,19,1,12
2024-08-12,23,1,15
2024-08-13,2,1,28
2024-08-14,10,1,28
2024-08-15,13,2,33
2024-08-16,6,4,30
2024-08-17,2,2,17
2024-08-18,5,1,40
2024-08-19,10,2,27
2024-08-20,10,1,21
2024-08-21,26,6,17
2024-08-22,4,"",66
2024-08-23,2,4,37
2024-08-24,4,9,18
2024-08-25,7,4,9
2024-08-27,8,2,15
2024-08-28,12,4,76
2024-08-29,19,2,21
2024-08-30,11,7,41
2024-08-31,2,1,40
2024-09-02,4,"",5
2024-09-03,16,"",7
2024-09-04,10,"",11
2024-09-05,17,8,37
2024-09-06,10,2,17
2024-09-07,8,8,21
2024-09-08,9,1,13
2024-09-09,5,7,43
2024-09-10,43,11,24
2024-09-11,37,19,51
2024-09-12,11,3,38
2024-09-13,33,7,50
2024-09-14,10,8,68
2024-09-15,4,7,40
2024-09-16,9,5,53
2024-09-17,2,8,31
2024-09-23,4,13,37
2024-09-26,3,6,17
2024-09-27,13,2,33
2024-09-30,8,13,43
2024-10-01,9,6,24
2024-10-02,10,7,16
2024-10-03,4,3,60
2024-10-04,13,5,9
2024-10-05,13,22,13
2024-10-06,3,3,17
2024-10-07,37,33,11
2024-10-08,5,3,10
2024-10-09,39,"",10
2024-10-10,1,"",17
2024-10-11,9,3,23
2024-10-12,6,"",11
2024-10-13,4,3,7
2024-10-14,9,"",19
2024-10-15,10,4,22
2024-10-16,30,1,10
2024-10-17,17,3,17
2024-10-18,20,21,17
2024-10-20,3,1,13
2024-10-21,44,4,81
2024-10-22,15,"",19
2024-10-23,5,1,18
2024-10-24,26,12,28
2024-10-25,11,"",20
2024-10-27,7,12,22
2024-10-28,2,3,23
2024-10-29,10,2,27
2024-10-30,20,2,17
2024-10-31,6,11,9
2024-11-01,117,24,34
2024-11-02,12,3,13
2024-11-04,14,3,21
2024-11-05,81,17,23
2024-11-06,8,6,71
2024-11-07,13,3,15
2024-11-08,110,22,22
2024-11-09,11,6,51
2024-11-10,8,3,24
2024-11-11,10,2,33
2024-11-12,17,7,34
2024-11-13,30,21,28
2024-11-14,21,8,39
2024-11-15,13,10,42
2024-11-16,12,3,21
2024-11-17,2,3,25
2024-11-18,4,5,35
2024-11-19,12,2,20
2024-11-20,4,4,11
2024-11-21,5,5,77
2024-11-22,30,4,32
2024-11-23,11,"",12
2024-11-24,4,1,17
2024-11-25,5,4,28
2024-11-26,71,4,20
2024-11-27,18,17,63
2024-11-28,10,3,26
2024-11-29,24,12,27
2024-11-30,13,2,19
2024-12-01,6,1,29
2024-12-02,5,5,22
2024-12-03,15,16,29
2024-12-04,11,14,13
2024-12-05,22,16,28
2024-12-06,18,12,47
2024-12-07,4,4,27
2024-12-08,13,4,72
2024-12-09,10,4,69
2024-12-10,21,4,22
2024-12-11,32,4,10
2024-12-12,135,28,21
2024-12-13,97,31,26
2024-12-14,14,1,23
2024-12-15,6,2,9
2024-12-16,41,14,11
2024-12-17,124,22,33
2024-12-18,90,8,40
2024-12-19,31,3,9
2024-12-20,24,11,14
2024-12-21,25,2,80
2024-12-22,4,6,12
2024-12-23,12,3,10
2024-12-24,3,2,12
2024-12-25,6,2,23
2024-12-26,1,4,6
2024-12-27,5,3,12
2024-12-28,4,3,12
2024-12-29,3,4,33
2024-12-30,3,1,13
2024-12-31,2,3,20
2025-01-02,3,7,25
2025-01-03,5,1,20
2025-01-04,4,2,35
2025-01-05,2,1,41
2025-01-06,5,4,21
2025-01-07,2,9,16
2025-01-08,65,8,16
2025-01-09,30,12,21
2025-01-10,9,6,15
2025-01-11,2,6,27
2025-01-12,3,2,16
2025-01-13,2,6,22
2025-01-14,2,9,19
2025-01-15,36,13,38
2025-01-16,26,10,41
2025-01-17,2,"",42
2025-01-18,1,"",48
2025-01-19,3,3,52
2025-01-20,86,25,122
2025-01-21,60,8,104
2025-01-22,38,12,21
2025-01-23,83,25,26
2025-01-24,16,12,106
2025-01-25,2,10,23
2025-01-26,1,3,38
2025-01-27,28,1,72
2025-01-28,3,7,25
2025-01-29,36,28,33
2025-01-30,8,8,23
2025-01-31,1,4,24
2025-02-01,1,1,20
2025-02-02,7,2,18
2025-02-03,6,"",16
2025-02-04,5,3,29
2025-02-06,3,6,16
2025-02-07,4,1,13
2025-02-08,6,"",18
2025-02-10,1,2,18
2025-02-11,5,3,159
2025-02-12,2,"",18
2025-02-13,9,18,27
2025-02-14,20,3,37
2025-02-15,12,3,23
2025-02-16,11,13,32
2025-02-17,28,13,27
2025-02-18,78,7,20
2025-02-19,15,19,23
2025-02-20,66,9,23
2025-02-21,25,5,28
2025-02-23,7,2,102
2025-02-24,7,27,20
2025-02-25,7,98,176
2025-02-26,50,15,115
2025-02-27,16,16,93
2025-02-28,15,38,42
2025-03-01,24,15,26
2025-03-02,5,7,22
2025-03-03,64,29,20
2025-03-04,24,34,22
